"speaker_speaker_id","documents_document_id"
44,974
44,975
44,976
44,977
44,978
44,979
44,980
44,981
44,982
44,983
44,984
44,985
44,986
44,987
44,988
44,989
44,990
44,991
44,992
44,993
44,994
44,995
44,996
44,997
44,998
44,999
44,1000
44,1001
44,1002
44,1003
44,1004
44,1005
44,1006
44,1007
44,1008
44,1009
44,1010
44,1011
44,1012
44,1013
44,1014
44,1015
44,1016
44,1017
44,1018
44,1019
44,1020
44,1021
44,1022
44,1023
44,1024
44,1025
44,1026
44,1027
44,1028
44,1029
44,1030
44,1031
44,1032
44,1033
44,1034
44,1035
44,1036
44,1037
44,1038
44,1039
44,1040
44,1041
44,1042
44,1043
44,1044
44,1045
44,1046
44,1047
44,1048
44,1049
44,1050
44,1051
44,1052
44,1053
44,1054
44,1055
44,1056
44,1057
44,1058
44,1059
44,1060
44,1061
44,1062
44,1063
44,1064
44,1065
44,1066
45,1067
45,1068
45,1069
45,1070
45,1071
45,1072
45,1073
45,1074
45,1075
45,1076
45,1077
45,1078
45,1079
45,1080
45,1081
45,1082
45,1083
45,1084
45,1085
45,1086
45,1087
45,1088
45,1089
45,1090
45,1091
45,1092
45,1093
45,1094
45,1095
45,1096
45,1097
45,1098
45,1099
45,1100
45,1101
45,1102
45,1103
45,1104
45,1105
45,1106
45,1107
45,1108
45,1109
45,1110
45,1111
45,1112
45,1113
45,1114
45,1115
45,1116
45,1117
45,1118
45,1119
45,1120
45,1121
45,1122
45,1123
45,1124
45,1125
45,1126
45,1127
45,1128
45,1129
45,1130
45,1131
45,1132
45,1133
45,1134
45,1135
45,1136
45,1137
45,1138
45,1139
45,1140
45,1141
45,1142
45,1143
45,1144
45,1145
45,1146
45,1147
45,1148
45,1149
45,1150
45,1151
45,1152
45,1153
45,1154
45,1155
45,1156
45,1157
45,1158
45,1159
45,1160
45,1161
45,1162
45,1163
45,1164
45,1165
45,1166
45,1167
45,1168
45,1169
45,1170
45,1171
45,1172
45,1173
45,1174
45,1175
45,1176
45,1177
45,1178
45,1179
45,1180
45,1181
45,1182
45,1183
45,1184
45,1185
45,1186
45,1187
45,1188
45,1189
45,1190
45,1191
45,1192
45,1193
45,1194
45,1195
45,1196
45,1197
45,1198
45,1199
45,1200
45,1201
45,1202
45,1203
45,1204
45,1205
45,1206
45,1207
45,1208
45,1209
45,1210
45,1211
45,1212
45,1213
45,1214
45,1215
45,1216
45,1217
45,1218
45,1219
45,1220
45,1221
45,1222
45,1223
45,1224
45,1225
45,1226
45,1227
45,1228
45,1229
45,1230
45,1231
45,1232
45,1233
45,1234
45,1235
45,1236
45,1237
45,1238
45,1239
45,1240
45,1241
45,1242
45,1243
45,1244
45,1245
45,1246
45,1247
45,1248
45,1249
45,1250
45,1251
45,1252
45,1253
45,1254
45,1255
45,1256
45,1257
45,1258
45,1259
45,1260
45,1261
45,1262
45,1263
45,1264
45,1265
45,1266
45,1267
45,1268
45,1269
45,1270
45,1271
45,1272
45,1273
45,1274
45,1275
45,1276
45,1277
45,1278
45,1279
45,1280
45,1281
45,1282
45,1283
45,1284
45,1285
45,1286
45,1287
45,1288
45,1289
45,1290
45,1291
45,1292
45,1293
45,1294
45,1295
45,1296
45,1297
45,1298
45,1299
45,1300
45,1301
45,1302
45,1303
45,1304
45,1305
45,1306
45,1307
45,1308
45,1309
45,1310
45,1311
45,1312
45,1313
45,1314
45,1315
45,1316
45,1317
45,1318
45,1319
45,1320
45,1321
45,1322
45,1323
45,1324
45,1325
45,1326
45,1327
45,1328
45,1329
45,1330
45,1331
45,1332
45,1333
45,1334
45,1335
45,1336
45,1337
45,1338
45,1339
45,1340
45,1341
45,1342
45,1343
45,1344
45,1345
45,1346
45,1347
45,1348
45,1349
45,1350
45,1351
45,1352
45,1353
45,1354
45,1355
45,1356
45,1357
45,1358
45,1359
45,1360
45,1361
45,1362
45,1363
45,1364
45,1365
45,1366
45,1367
45,1368
45,1369
45,1370
45,1371
45,1372
45,1373
45,1374
45,1375
45,1376
45,1377
45,1378
45,1379
45,1380
45,1381
45,1382
45,1383
45,1384
45,1385
45,1386
45,1387
45,1388
45,1389
45,1390
45,1391
45,1392
45,1393
45,1394
45,1395
45,1396
45,1397
45,1398
45,1399
45,1400
45,1401
45,1402
45,1403
45,1404
45,1405
45,1406
45,1407
45,1408
45,1409
45,1410
45,1411
45,1412
45,1413
45,1414
45,1415
45,1416
45,1417
45,1418
45,1419
45,1420
45,1421
45,1422
45,1423
45,1424
45,1425
45,1426
45,1427
45,1428
45,1429
45,1430
45,1431
45,1432
45,1433
45,1434
45,1435
45,1436
45,1437
45,1438
45,1439
45,1440
45,1441
45,1442
45,1443
45,1444
45,1445
45,1446
45,1447
45,1448
45,1449
45,1450
45,1451
45,1452
45,1453
45,1454
45,1455
45,1456
45,1457
45,1458
45,1459
45,1460
45,1461
45,1462
45,1463
45,1464
45,1465
45,1466
45,1467
45,1468
45,1469
45,1470
45,1471
45,1472
45,1473
45,1474
45,1475
45,1476
45,1477
45,1478
45,1479
45,1480
45,1481
45,1482
45,1483
45,1484
45,1485
45,1486
45,1487
45,1488
45,1489
45,1490
45,1491
45,1492
45,1493
45,1494
45,1495
45,1496
45,1497
45,1498
45,1499
45,1500
45,1501
45,1502
45,1503
45,1504
45,1505
45,1506
45,1507
45,1508
45,1509
45,1510
45,1511
45,1512
45,1513
45,1514
45,1515
45,1516
45,1517
45,1518
45,1519
45,1520
45,1521
45,1522
45,1523
45,1524
45,1525
45,1526
45,1527
45,1528
45,1529
45,1530
45,1531
45,1532
45,1533
45,1534
45,1535
45,1536
45,1537
45,1538
45,1539
45,1540
45,1541
45,1542
45,1543
45,1544
45,1545
45,1546
45,1547
45,1548
45,1549
45,1550
45,1551
45,1552
45,1553
45,1554
45,1555
45,1556
45,1557
45,1558
45,1559
45,1560
45,1561
45,1562
45,1563
45,1564
45,1565
45,1566
45,1567
45,1568
45,1569
45,1570
45,1571
45,1572
45,1573
45,1574
45,1575
45,1576
45,1577
45,1578
45,1579
45,1580
45,1581
45,1582
45,1583
45,1584
45,1585
45,1586
45,1587
45,1588
45,1589
45,1590
45,1591
45,1592
45,1593
45,1594
45,1595
45,1596
45,1597
45,1598
45,1599
45,1600
45,1601
45,1602
45,1603
45,1604
45,1605
45,1606
45,1607
45,1608
45,1609
45,1610
45,1611
45,1612
45,1613
45,1614
45,1615
45,1616
45,1617
45,1618
45,1619
45,1620
45,1621
45,1622
45,1623
45,1624
45,1625
45,1626
45,1627
45,1628
45,1629
45,1630
45,1631
45,1632
45,1633
45,1634
45,1635
45,1636
45,1637
45,1638
45,1639
45,1640
45,1641
45,1642
45,1643
45,1644
45,1645
45,1646
45,1647
45,1648
45,1649
45,1650
45,1651
45,1652
45,1653
45,1654
45,1655
45,1656
45,1657
45,1658
45,1659
45,1660
